,Utility Name,Plant Code,Plant Name,Generator ID,Technology,Ownership,Plant Balance,Owner #0,% Owned #0,Owner #1,% Owned #1,Owner #2,% Owned #2,Owner #3,% Owned #3,Owner #4,% Owned #4,Owner #5,% Owned #5,Owner #6,% Owned #6,Owner #7,% Owned #7,Owner #8,% Owned #8,Owner #9,% Owned #9,Owner #10,% Owned #10,Owner #11,% Owned #11,Owner #12,% Owned #12,Owner #13,% Owned #13,Owner #14,% Owned #14
1854,MidAmerican Energy Co,1082.0,Walter Scott Jr Energy Center,3,Conventional Steam Coal,J,13664470.5,Atlantic Municipal Utilities,0.025,Cedar Falls Utilities,0.031,Central Iowa Power Cooperative,0.115,Corn Belt Power Coop,0.038,MidAmerican Energy Co,0.791,,,,,,,,,,,,,,,,,,,,
1855,MidAmerican Energy Co,1082.0,Walter Scott Jr Energy Center,4,Conventional Steam Coal,J,11887329.2,City of Alta - (IA),0.0014,Cedar Falls Utilities,0.0214,Central Iowa Power Cooperative,0.0955,Corn Belt Power Coop,0.056,Eldridge City Utilities,0.0053,Lincoln Electric System,0.1266,MidAmerican Energy Co,0.5966,Town of Montezuma - (IN),0.0042,City of New Hampton - (IA),0.0056,City of Spencer - (IA),0.0114,City of Sumner - (IA),0.0014,Waverly Municipal Elec Utility,0.004,City of West Bend,0.0014,Municipal Energy Agency of NE,0.0692,,
1867,Interstate Power and Light Co,1104.0,Burlington (IA),1,Conventional Steam Coal,S,5821.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,Kansas City Power & Light Co,1241.0,La Cygne,1,Conventional Steam Coal,J,4004482.0,Kansas City Power & Light Co,0.5,Kansas Gas & Electric Co,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,Kansas City Power & Light Co,1241.0,La Cygne,2,Conventional Steam Coal,J,336037.6,Kansas City Power & Light Co,0.5,Kansas Gas & Electric Co,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2146,Westar Energy Inc,1250.0,Lawrence Energy Center,4,Conventional Steam Coal,S,4517919.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147,Westar Energy Inc,1250.0,Lawrence Energy Center,5,Conventional Steam Coal,S,9060787.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2148,Westar Energy Inc,1252.0,Tecumseh Energy Center,7,Conventional Steam Coal,S,2164866.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,Kentucky Utilities Co,1355.0,E W Brown,1,Conventional Steam Coal,S,448697.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,Kentucky Utilities Co,1355.0,E W Brown,2,Conventional Steam Coal,S,1678270.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,Kentucky Utilities Co,1355.0,E W Brown,3,Conventional Steam Coal,S,1404619.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416,Kentucky Utilities Co,1356.0,Ghent,1,Conventional Steam Coal,S,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,Kentucky Utilities Co,1356.0,Ghent,2,Conventional Steam Coal,S,7545327.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418,Kentucky Utilities Co,1356.0,Ghent,3,Conventional Steam Coal,S,17064984.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,Kentucky Utilities Co,1356.0,Ghent,4,Conventional Steam Coal,S,34004038.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,Louisville Gas & Electric Co,1364.0,Mill Creek (KY),1,Conventional Steam Coal,S,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,Louisville Gas & Electric Co,1364.0,Mill Creek (KY),2,Conventional Steam Coal,S,8951864.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,Louisville Gas & Electric Co,1364.0,Mill Creek (KY),3,Conventional Steam Coal,S,13117268.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,Louisville Gas & Electric Co,1364.0,Mill Creek (KY),4,Conventional Steam Coal,S,20129932.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,Entergy Louisiana LLC,1393.0,R S Nelson,6,Conventional Steam Coal,J,2372885.1,Entergy Louisiana LLC,0.4025,"East Texas Electric Coop, Inc",0.091,Sam Rayburn G&T Elec Coop Inc,0.1,Entergy Texas Inc.,0.2975,EAM Nelson Holding LLC,0.109,,,,,,,,,,,,,,,,,,,,
3043,Wisconsin Electric Power Co,1769.0,Presque Isle,5,Conventional Steam Coal,S,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
